Metadata_CellLine	Metadata_Condition	Metadata_Plate	Metadata_Well	Metadata_Site	Metadata_Nuclei_Site_Count	UMAP0	UMAP1
293T	untreated	slide4	B4	M23	932	-3.6307068	2.7069306
293T	untreated	slide4	B4	M9	856	-4.162181	2.396068
786O	SARNP kd9	slide4	A3	M49	33	5.5332055	0.46646997
293T	untreated	slide4	B4	M22	795	-3.4091191	0.005769522
786O	TMEM259 kd6	slide4	A4	M45	231	2.0407605	2.038471
293T	untreated	slide4	B4	M61	769	-1.5117992	3.1990442
786O	SARNP kd3	slide4	B2	M37	198	4.4289117	3.029588
293T	untreated	slide4	B4	M43	517	-0.26252526	0.96213746
293T	untreated	slide4	B4	M30	330	-2.4659069	-0.011281586
293T	untreated	slide4	B4	M24	715	-2.0809069	-0.8228885
786O	TMEM259 kd5	slide4	B3	M60	64	1.7214942	2.363085
293T	untreated	slide4	B4	M21	788	-3.3272173	1.8001695
293T	untreated	slide4	B4	M14	600	-2.2767932	0.81590647
786O	TMEM259 kd5	slide4	B3	M26	208	4.0671077	2.0658398
293T	untreated	slide4	B4	M41	709	-2.8090365	2.7700522
293T	untreated	slide4	B4	M43	517	-2.0996852	-0.23384903
786O	NTC	slide4	A1	M21	94	2.8925061	2.6978755
293T	untreated	slide4	B4	M3	650	-0.90011245	-0.9765799
293T	untreated	slide4	B4	M27	549	-3.2638156	1.9927799
786O	DDX39A kd1	slide4	B1	M34	86	3.8781075	-0.3163733
293T	untreated	slide4	B4	M5	865	-4.191821	1.9026887
293T	untreated	slide4	B4	M21	788	-3.375833	0.7260872
293T	untreated	slide4	B4	M46	317	-2.2037752	-0.099412605
293T	untreated	slide4	B4	M39	658	-3.6621933	2.0213935
293T	untreated	slide4	B4	M49	144	-3.2401521	0.29681373
786O	SARNP kd3	slide4	B2	M17	61	3.8708236	0.26972798
786O	TMEM259 kd6	slide4	A4	M52	221	5.2419643	-0.22955385
293T	untreated	slide4	B4	M14	600	-2.1921473	0.007986619
293T	untreated	slide4	B4	M20	599	-1.6991249	3.1693282
786O	TMEM259 kd5	slide4	B3	M53	128	1.9456279	0.017755486
293T	untreated	slide4	B4	M47	271	-1.3495351	3.4924073
786O	DDX39A kd1	slide4	B1	M19	199	2.1129143	0.33067578
293T	untreated	slide4	B4	M53	474	-3.4605055	1.3268244
786O	DDX39A kd4	slide4	A2	M28	105	4.628236	0.93169355
293T	untreated	slide4	B4	M39	658	-1.4496872	-1.1380575
293T	untreated	slide4	B4	M13	726	-3.3441088	1.0365982
293T	untreated	slide4	B4	M7	571	-3.2959008	3.0580478
786O	SARNP kd3	slide4	B2	M28	222	3.3315034	2.8889844
786O	SARNP kd9	slide4	A3	M55	67	2.3026161	1.8957844
293T	untreated	slide4	B4	M16	236	-0.65930986	-1.2460831
786O	DDX39A kd4	slide4	A2	M19	169	1.5318882	0.39277044
786O	DDX39A kd4	slide4	A2	M51	120	2.9368145	-0.13111049
786O	SARNP kd3	slide4	B2	M42	117	1.8437008	1.0221103
293T	untreated	slide4	B4	M13	726	-2.5776222	0.3841466
786O	DDX39A kd1	slide4	B1	M37	145	-0.45520625	0.05406887
786O	TMEM259 kd5	slide4	B3	M25	78	3.1524444	-0.3272178
786O	DDX39A kd1	slide4	B1	M28	247	2.7690928	2.3741808
786O	DDX39A kd1	slide4	B1	M31	78	3.7987711	-0.49933147
786O	SARNP kd9	slide4	A3	M15	61	-0.09432813	7.684422
293T	untreated	slide4	B4	M52	440	-2.3197427	2.827231
786O	NTC	slide4	A1	M21	94	4.3075976	2.5145142
293T	untreated	slide4	B4	M53	474	-2.5779598	2.1152143
786O	SARNP kd3	slide4	B2	M35	145	3.7139943	4.037192
786O	TMEM259 kd5	slide4	B3	M46	180	1.4935163	1.6455927
786O	TMEM259 kd6	slide4	A4	M34	243	3.9229155	3.2670808
786O	TMEM259 kd5	slide4	B3	M26	208	2.952457	1.3171284
293T	untreated	slide4	B4	M54	532	-0.83528316	7.724237
786O	TMEM259 kd5	slide4	B3	M58	105	5.0956583	0.1756451
293T	untreated	slide4	B4	M39	658	-1.1493292	3.7925038
786O	TMEM259 kd5	slide4	B3	M10	33	2.6505775	1.945655
293T	untreated	slide4	B4	M35	368	0.30264524	2.219532
293T	untreated	slide4	B4	M25	842	-2.0447035	-0.78828746
293T	untreated	slide4	B4	M13	726	-1.994874	2.535688
786O	DDX39A kd1	slide4	B1	M21	207	2.4334905	0.60266626
293T	untreated	slide4	B4	M37	360	-0.48299652	7.783114
786O	DDX39A kd4	slide4	A2	M44	100	4.4319415	1.3437251
786O	TMEM259 kd6	slide4	A4	M36	144	5.1782393	2.127662
786O	TMEM259 kd6	slide4	A4	M26	200	2.3989575	2.6494255
293T	untreated	slide4	B4	M16	236	2.4894443	-0.4907924
293T	untreated	slide4	B4	M11	1034	-3.0230165	0.9397553
293T	untreated	slide4	B4	M38	697	-3.7311852	0.5002328
786O	SARNP kd3	slide4	B2	M57	74	3.6826284	-1.1053709
293T	untreated	slide4	B4	M50	167	-2.4072168	3.2318277
786O	DDX39A kd1	slide4	B1	M1	41	3.7114906	3.2348046
293T	untreated	slide4	B4	M30	330	-1.8987418	0.5452131
293T	untreated	slide4	B4	M23	932	-0.9297072	0.6791576
786O	DDX39A kd4	slide4	A2	M53	88	3.8550375	1.8207195
293T	untreated	slide4	B4	M61	769	-0.04057623	2.2373447
